"year","age","gender","n"
"2017","27","Female","1"
"2017","28","Female","6"
"2017","29","Female","16"
"2017","30","Female","22"
"2017","31","Female","26"
"2017","32","Female","30"
"2017","33","Female","24"
"2017","34","Female","31"
"2017","35","Female","64"
"2017","36","Female","97"
"2017","37","Female","127"
"2017","38","Female","113"
"2017","39","Female","156"
"2017","40","Female","140"
"2017","41","Female","137"
"2017","42","Female","152"
"2017","43","Female","137"
"2017","44","Female","149"
"2017","45","Female","154"
"2017","46","Female","163"
"2017","47","Female","149"
"2017","48","Female","106"
"2017","49","Female","115"
"2017","50","Female","104"
"2017","51","Female","97"
"2017","52","Female","115"
"2017","53","Female","123"
"2017","54","Female","121"
"2017","55","Female","94"
"2017","56","Female","85"
"2017","57","Female","100"
"2017","58","Female","107"
"2017","59","Female","137"
"2017","60","Female","110"
"2017","61","Female","124"
"2017","62","Female","138"
"2017","63","Female","108"
"2017","64","Female","94"
"2017","65","Female","81"
"2017","66","Female","16"
"2017","67","Female","6"
"2017","68","Female","7"
"2017","69","Female","4"
"2017","70","Female","1"
"2018","27","Female","1"
"2018","28","Female","6"
"2018","29","Female","16"
"2018","30","Female","23"
"2018","31","Female","27"
"2018","32","Female","32"
"2018","33","Female","25"
"2018","34","Female","34"
"2018","35","Female","70"
"2018","36","Female","101"
"2018","37","Female","129"
"2018","38","Female","121"
"2018","39","Female","164"
"2018","40","Female","142"
"2018","41","Female","148"
"2018","42","Female","157"
"2018","43","Female","144"
"2018","44","Female","149"
"2018","45","Female","153"
"2018","46","Female","164"
"2018","47","Female","150"
"2018","48","Female","106"
"2018","49","Female","115"
"2018","50","Female","103"
"2018","51","Female","97"
"2018","52","Female","115"
"2018","53","Female","123"
"2018","54","Female","120"
"2018","55","Female","94"
"2018","56","Female","83"
"2018","57","Female","99"
"2018","58","Female","107"
"2018","59","Female","136"
"2018","60","Female","110"
"2018","61","Female","124"
"2018","62","Female","137"
"2018","63","Female","107"
"2018","64","Female","92"
"2018","65","Female","7"
"2018","66","Female","NA"
"2018","67","Female","NA"
"2018","68","Female","3"
"2018","69","Female","4"
"2018","70","Female","1"
"2019","27","Female","1"
"2019","28","Female","6"
"2019","29","Female","81"
"2019","30","Female","23"
"2019","31","Female","27"
"2019","32","Female","32"
"2019","33","Female","25"
"2019","34","Female","34"
"2019","35","Female","69"
"2019","36","Female","100"
"2019","37","Female","129"
"2019","38","Female","124"
"2019","39","Female","161"
"2019","40","Female","141"
"2019","41","Female","148"
"2019","42","Female","157"
"2019","43","Female","142"
"2019","44","Female","150"
"2019","45","Female","151"
"2019","46","Female","165"
"2019","47","Female","150"
"2019","48","Female","107"
"2019","49","Female","116"
"2019","50","Female","104"
"2019","51","Female","98"
"2019","52","Female","115"
"2019","53","Female","123"
"2019","54","Female","121"
"2019","55","Female","95"
"2019","56","Female","84"
"2019","57","Female","99"
"2019","58","Female","106"
"2019","59","Female","137"
"2019","60","Female","111"
"2019","61","Female","122"
"2019","62","Female","132"
"2019","63","Female","104"
"2019","64","Female","9"
"2019","65","Female","1"
"2019","66","Female","NA"
"2019","67","Female","NA"
"2019","68","Female","NA"
"2019","69","Female","3"
"2019","70","Female","1"
"2020","27","Female","1"
"2020","28","Female","6"
"2020","29","Female","81"
"2020","30","Female","22"
"2020","31","Female","26"
"2020","32","Female","32"
"2020","33","Female","25"
"2020","34","Female","34"
"2020","35","Female","68"
"2020","36","Female","100"
"2020","37","Female","128"
"2020","38","Female","125"
"2020","39","Female","160"
"2020","40","Female","140"
"2020","41","Female","147"
"2020","42","Female","156"
"2020","43","Female","142"
"2020","44","Female","149"
"2020","45","Female","151"
"2020","46","Female","164"
"2020","47","Female","150"
"2020","48","Female","107"
"2020","49","Female","115"
"2020","50","Female","103"
"2020","51","Female","98"
"2020","52","Female","115"
"2020","53","Female","120"
"2020","54","Female","120"
"2020","55","Female","95"
"2020","56","Female","82"
"2020","57","Female","98"
"2020","58","Female","106"
"2020","59","Female","134"
"2020","60","Female","105"
"2020","61","Female","115"
"2020","62","Female","123"
"2020","63","Female","52"
"2020","64","Female","NA"
"2020","65","Female","1"
"2020","66","Female","NA"
"2020","67","Female","NA"
"2020","68","Female","NA"
"2020","69","Female","1"
"2020","70","Female","NA"
"2021","27","Female","1"
"2021","28","Female","6"
"2021","29","Female","81"
"2021","30","Female","21"
"2021","31","Female","26"
"2021","32","Female","31"
"2021","33","Female","25"
"2021","34","Female","34"
"2021","35","Female","67"
"2021","36","Female","100"
"2021","37","Female","128"
"2021","38","Female","125"
"2021","39","Female","160"
"2021","40","Female","139"
"2021","41","Female","147"
"2021","42","Female","154"
"2021","43","Female","142"
"2021","44","Female","148"
"2021","45","Female","152"
"2021","46","Female","161"
"2021","47","Female","147"
"2021","48","Female","106"
"2021","49","Female","115"
"2021","50","Female","102"
"2021","51","Female","96"
"2021","52","Female","115"
"2021","53","Female","119"
"2021","54","Female","120"
"2021","55","Female","95"
"2021","56","Female","82"
"2021","57","Female","98"
"2021","58","Female","104"
"2021","59","Female","131"
"2021","60","Female","99"
"2021","61","Female","104"
"2021","62","Female","101"
"2021","63","Female","26"
"2021","64","Female","NA"
"2021","65","Female","NA"
"2021","66","Female","NA"
"2021","67","Female","NA"
"2021","68","Female","NA"
"2021","69","Female","NA"
"2021","70","Female","NA"
"2017","66","Male","20"
"2017","65","Male","200"
"2017","64","Male","215"
"2017","63","Male","203"
"2017","62","Male","221"
"2017","61","Male","245"
"2017","60","Male","227"
"2017","59","Male","197"
"2017","58","Male","175"
"2017","57","Male","183"
"2017","56","Male","220"
"2017","55","Male","227"
"2017","54","Male","232"
"2017","53","Male","243"
"2017","52","Male","193"
"2017","51","Male","165"
"2017","50","Male","178"
"2017","49","Male","189"
"2017","48","Male","212"
"2017","47","Male","216"
"2017","46","Male","223"
"2017","45","Male","229"
"2017","44","Male","226"
"2017","43","Male","169"
"2017","42","Male","167"
"2017","41","Male","141"
"2017","40","Male","123"
"2017","39","Male","139"
"2017","38","Male","126"
"2017","37","Male","101"
"2017","36","Male","90"
"2017","35","Male","55"
"2017","34","Male","59"
"2017","33","Male","42"
"2017","32","Male","76"
"2017","31","Male","59"
"2017","30","Male","36"
"2017","29","Male","26"
"2017","28","Male","8"
"2017","27","Male","6"
"2017","26","Male","NA"
"2017","25","Male","NA"
"2017","24","Male","NA"
"2018","66","Male","NA"
"2018","65","Male","23"
"2018","64","Male","204"
"2018","63","Male","197"
"2018","62","Male","215"
"2018","61","Male","243"
"2018","60","Male","225"
"2018","59","Male","197"
"2018","58","Male","174"
"2018","57","Male","181"
"2018","56","Male","219"
"2018","55","Male","227"
"2018","54","Male","231"
"2018","53","Male","244"
"2018","52","Male","193"
"2018","51","Male","166"
"2018","50","Male","179"
"2018","49","Male","191"
"2018","48","Male","212"
"2018","47","Male","216"
"2018","46","Male","221"
"2018","45","Male","230"
"2018","44","Male","227"
"2018","43","Male","171"
"2018","42","Male","168"
"2018","41","Male","143"
"2018","40","Male","126"
"2018","39","Male","140"
"2018","38","Male","126"
"2018","37","Male","100"
"2018","36","Male","94"
"2018","35","Male","56"
"2018","34","Male","59"
"2018","33","Male","44"
"2018","32","Male","76"
"2018","31","Male","59"
"2018","30","Male","36"
"2018","29","Male","26"
"2018","28","Male","8"
"2018","27","Male","6"
"2018","26","Male","NA"
"2018","25","Male","NA"
"2018","24","Male","NA"
"2019","66","Male","NA"
"2019","65","Male","NA"
"2019","64","Male","15"
"2019","63","Male","191"
"2019","62","Male","206"
"2019","61","Male","236"
"2019","60","Male","224"
"2019","59","Male","196"
"2019","58","Male","172"
"2019","57","Male","180"
"2019","56","Male","220"
"2019","55","Male","228"
"2019","54","Male","230"
"2019","53","Male","243"
"2019","52","Male","193"
"2019","51","Male","164"
"2019","50","Male","180"
"2019","49","Male","189"
"2019","48","Male","211"
"2019","47","Male","214"
"2019","46","Male","220"
"2019","45","Male","230"
"2019","44","Male","228"
"2019","43","Male","172"
"2019","42","Male","169"
"2019","41","Male","146"
"2019","40","Male","127"
"2019","39","Male","138"
"2019","38","Male","124"
"2019","37","Male","101"
"2019","36","Male","94"
"2019","35","Male","56"
"2019","34","Male","58"
"2019","33","Male","44"
"2019","32","Male","76"
"2019","31","Male","58"
"2019","30","Male","36"
"2019","29","Male","120"
"2019","28","Male","37"
"2019","27","Male","9"
"2019","26","Male","1"
"2019","25","Male","1"
"2019","24","Male","1"
"2020","66","Male","NA"
"2020","65","Male","NA"
"2020","64","Male","NA"
"2020","63","Male","94"
"2020","62","Male","192"
"2020","61","Male","225"
"2020","60","Male","220"
"2020","59","Male","189"
"2020","58","Male","170"
"2020","57","Male","179"
"2020","56","Male","219"
"2020","55","Male","226"
"2020","54","Male","230"
"2020","53","Male","242"
"2020","52","Male","192"
"2020","51","Male","164"
"2020","50","Male","179"
"2020","49","Male","188"
"2020","48","Male","211"
"2020","47","Male","213"
"2020","46","Male","221"
"2020","45","Male","228"
"2020","44","Male","226"
"2020","43","Male","170"
"2020","42","Male","167"
"2020","41","Male","147"
"2020","40","Male","126"
"2020","39","Male","138"
"2020","38","Male","126"
"2020","37","Male","103"
"2020","36","Male","95"
"2020","35","Male","56"
"2020","34","Male","57"
"2020","33","Male","44"
"2020","32","Male","76"
"2020","31","Male","59"
"2020","30","Male","36"
"2020","29","Male","120"
"2020","28","Male","37"
"2020","27","Male","9"
"2020","26","Male","1"
"2020","25","Male","1"
"2020","24","Male","2"
"2021","66","Male","NA"
"2021","65","Male","NA"
"2021","64","Male","NA"
"2021","63","Male","36"
"2021","62","Male","167"
"2021","61","Male","195"
"2021","60","Male","206"
"2021","59","Male","183"
"2021","58","Male","169"
"2021","57","Male","177"
"2021","56","Male","218"
"2021","55","Male","225"
"2021","54","Male","227"
"2021","53","Male","240"
"2021","52","Male","191"
"2021","51","Male","164"
"2021","50","Male","179"
"2021","49","Male","187"
"2021","48","Male","210"
"2021","47","Male","212"
"2021","46","Male","221"
"2021","45","Male","227"
"2021","44","Male","226"
"2021","43","Male","168"
"2021","42","Male","166"
"2021","41","Male","146"
"2021","40","Male","126"
"2021","39","Male","137"
"2021","38","Male","124"
"2021","37","Male","103"
"2021","36","Male","94"
"2021","35","Male","55"
"2021","34","Male","57"
"2021","33","Male","44"
"2021","32","Male","76"
"2021","31","Male","58"
"2021","30","Male","36"
"2021","29","Male","119"
"2021","28","Male","37"
