"","year","month","corps","n"
"1",2017,1,"Administratif",7833
"61",2017,1,"Ouvrier",1371
"121",2017,1,"Technique",557
"181",2017,1,"Unknown",1
"241",2017,1,"Total général",9762
"21",2017,2,"Administratif",7837
"81",2017,2,"Ouvrier",1372
"141",2017,2,"Technique",555
"201",2017,2,"Unknown",1
"261",2017,2,"Total général",9765
"26",2017,3,"Administratif",7848
"86",2017,3,"Ouvrier",1372
"146",2017,3,"Technique",556
"206",2017,3,"Unknown",1
"266",2017,3,"Total général",9777
"31",2017,4,"Administratif",7847
"91",2017,4,"Ouvrier",1371
"151",2017,4,"Technique",555
"211",2017,4,"Unknown",1
"271",2017,4,"Total général",9774
"36",2017,5,"Administratif",7847
"96",2017,5,"Ouvrier",1371
"156",2017,5,"Technique",555
"216",2017,5,"Unknown",1
"276",2017,5,"Total général",9774
"41",2017,6,"Administratif",7923
"101",2017,6,"Ouvrier",1368
"161",2017,6,"Technique",558
"221",2017,6,"Unknown",1
"281",2017,6,"Total général",9850
"46",2017,7,"Administratif",7927
"106",2017,7,"Ouvrier",1331
"166",2017,7,"Technique",593
"226",2017,7,"Unknown",NA
"286",2017,7,"Total général",9851
"51",2017,8,"Administratif",7940
"111",2017,8,"Ouvrier",1330
"171",2017,8,"Technique",593
"231",2017,8,"Unknown",NA
"291",2017,8,"Total général",9863
"56",2017,9,"Administratif",7950
"116",2017,9,"Ouvrier",1330
"176",2017,9,"Technique",606
"236",2017,9,"Unknown",NA
"296",2017,9,"Total général",9886
"6",2017,10,"Administratif",7966
"66",2017,10,"Ouvrier",1337
"126",2017,10,"Technique",614
"186",2017,10,"Unknown",1
"246",2017,10,"Total général",9918
"11",2017,11,"Administratif",7975
"71",2017,11,"Ouvrier",1337
"131",2017,11,"Technique",629
"191",2017,11,"Unknown",1
"251",2017,11,"Total général",9942
"16",2017,12,"Administratif",7980
"76",2017,12,"Ouvrier",1336
"136",2017,12,"Technique",633
"196",2017,12,"Unknown",NA
"256",2017,12,"Total général",9949
"2",2018,1,"Administratif",7742
"62",2018,1,"Ouvrier",1270
"122",2018,1,"Technique",591
"182",2018,1,"Unknown",NA
"242",2018,1,"Total général",9603
"22",2018,2,"Administratif",7741
"82",2018,2,"Ouvrier",1270
"142",2018,2,"Technique",591
"202",2018,2,"Unknown",NA
"262",2018,2,"Total général",9602
"27",2018,3,"Administratif",7740
"87",2018,3,"Ouvrier",1270
"147",2018,3,"Technique",591
"207",2018,3,"Unknown",NA
"267",2018,3,"Total général",9601
"32",2018,4,"Administratif",7748
"92",2018,4,"Ouvrier",1270
"152",2018,4,"Technique",591
"212",2018,4,"Unknown",NA
"272",2018,4,"Total général",9609
"37",2018,5,"Administratif",7760
"97",2018,5,"Ouvrier",1268
"157",2018,5,"Technique",594
"217",2018,5,"Unknown",NA
"277",2018,5,"Total général",9622
"42",2018,6,"Administratif",7813
"102",2018,6,"Ouvrier",1267
"162",2018,6,"Technique",598
"222",2018,6,"Unknown",NA
"282",2018,6,"Total général",9678
"47",2018,7,"Administratif",7813
"107",2018,7,"Ouvrier",1267
"167",2018,7,"Technique",598
"227",2018,7,"Unknown",NA
"287",2018,7,"Total général",9678
"52",2018,8,"Administratif",7810
"112",2018,8,"Ouvrier",1267
"172",2018,8,"Technique",598
"232",2018,8,"Unknown",NA
"292",2018,8,"Total général",9675
"57",2018,9,"Administratif",7812
"117",2018,9,"Ouvrier",1267
"177",2018,9,"Technique",598
"237",2018,9,"Unknown",NA
"297",2018,9,"Total général",9677
"7",2018,10,"Administratif",7811
"67",2018,10,"Ouvrier",1264
"127",2018,10,"Technique",598
"187",2018,10,"Unknown",NA
"247",2018,10,"Total général",9673
"12",2018,11,"Administratif",7821
"72",2018,11,"Ouvrier",1263
"132",2018,11,"Technique",602
"192",2018,11,"Unknown",NA
"252",2018,11,"Total général",9686
"17",2018,12,"Administratif",7826
"77",2018,12,"Ouvrier",1262
"137",2018,12,"Technique",604
"197",2018,12,"Unknown",NA
"257",2018,12,"Total général",9692
"3",2019,1,"Administratif",7596
"63",2019,1,"Ouvrier",1196
