"","year","month","position","n"
"1","2017",1,"Conseiller en Chef",3
"2","2017",1,"Gestionnaire en Chef",262
"3","2017",1,"Comptable en Chef",15
"4","2017",1,"Gestionnaire Financier en Chef",23
"5","2017",1,"Expert Commercial en Chef",2
"6","2017",1,"Auditeur en Chef",1
"7","2017",1,"Contrôleur de gestion en Chef",2
"8","2017",1,"Ingénieur en Chef",53
"9","2017",1,"Expert Technicien en Chef",NA
"10","2017",1,"Analyste en Chef",23
"11","2017",1,"Architecte en Chef",4
"12","2017",1,"Conseiller Général",3
"13","2017",1,"Gestionnaire Général",85
"14","2017",1,"Gestionnaire Financier Général",NA
"15","2017",1,"Ingénieur Général",8
"16","2017",1,"Analyste Général",6
"17","2017",1,"Architecte Général",1
"18","2017",1,"Agent non qualifié 1ère cie",82
"19","2017",1,"Agent non qualifié 2ème cie",7
"20","2017",1,"Agent non qualifié 3ème cie",59
"21","2017",1,"Agent d'Acceuil",10
"22","2017",1,"Agent de métier",71
"23","2017",1,"Agent des postes",63
"24","2017",1,"Agent de guichet",93
"25","2017",1,"Agent de Distribution",661
"26","2017",1,"Agent Administratif Adjoint",7
"27","2017",1,"Agent technique",1
"28","2017",1,"Agent qualifié 1er degré",74
"29","2017",1,"Agent Administratif",157
"30","2017",1,"Agent Bureautique",4
"31","2017",1,"Agent PrincipaL des postes",66
"32","2017",1,"Agent PrincipaL de guichet",222
"33","2017",1,"Agent principale de Distribution",295
"34","2017",1,"Agent financier",2
"35","2017",1,"Technicien Adjoint",12
"36","2017",1,"Technicien de Laboratoire Informatique",NA
"37","2017",1,"Agent qualifié 2ème degré",109
"38","2017",1,"Ouvrier",NA
"39","2017",1,"Gestionnaire Adjoint",184
"40","2017",1,"Surveillant des postes",532
"41","2017",1,"Surveillant des guichets",1471
"42","2017",1,"Surveillant de distribution",388
"43","2017",1,"Gestionnaire financier adjoint",80
"44","2017",1,"Ouvrier",NA
"45","2017",1,"Technicien",165
"46","2017",1,"Programmeur",5
"47","2017",1,"Agent qualifié 3ème degré",89
"48","2017",1,"Gestionnaire",1996
"49","2017",1,"Comptable",3
"50","2017",1,"Gestionnaire Financier",18
"51","2017",1,"Technicien Principal",147
"52","2017",1,"Analyste",29
"53","2017",1,"Gestionnaire Central",951
"54","2017",1,"Comptable Principal",18
"55","2017",1,"Gestionnaire Financier Principal",10
"56","2017",1,"Expert Commercial Principal",9
"57","2017",1,"Ingenieur Principal",28
"58","2017",1,"Technicien en Chef",42
"59","2017",1,"Analyste Central",30
"60","2017",1,"PRESIDENT DIRECTEUR GENERAL",1
"61","2017",1,"Contract. Agent non qualifié 1ère cie",18
"62","2017",1,"Contract. Agent d'Acceuil",2
"63","2017",1,"Contract. Agent de guichet",6
"64","2017",1,"Contract. Agent Administratif Adjoint",NA
"65","2017",1,"Contract. Agent Administratif",25
"66","2017",1,"Contract. Agent PrincipaL de guichet",3
"67","2017",1,"Contract. Gestionnaire Adjoint",45
"68","2017",1,"Contract. Surveillant des guichets",14
"69","2017",1,"Contract. Gestionnaire",97
"70","2017",1,"Contract. Gestionnaire Central",3
"71","2017",1,"Femme Menage",604
"72","2017",1,"Femme Menage qualifié",NA
"73","2017",1,"Gardiennage",257
"74","2017",1,"Gardiennage qualifié",NA
"75","2017",1,"Inspecteur en chef",NA
"76","2017",1,"Inspecteur",NA
"77","2017",1,"Agent de production",1
"78","2017",1,"Secrétaire de gestion",NA
"79","2017",1,"Attaché d'inspection",2
"80","2017",1,"Analyste",1
"81","2017",1,"Administration conseil",NA
"82","2017",1,"Attaché De l'administration",NA
"83","2017",1,"Medecin",1
"84","2017",1,"MEDECIN PRINCIPAL",NA
"85","2017",1,"Unknown",1
"86","2017",10,"Conseiller en Chef",2
"87","2017",10,"Gestionnaire en Chef",352
"88","2017",10,"Comptable en Chef",19
"89","2017",10,"Gestionnaire Financier en Chef",25
"90","2017",10,"Expert Commercial en Chef",2
"91","2017",10,"Auditeur en Chef",1
"92","2017",10,"Contrôleur de gestion en Chef",3
"93","2017",10,"Ingénieur en Chef",50
"94","2017",10,"Expert Technicien en Chef",NA
"95","2017",10,"Analyste en Chef",32
"96","2017",10,"Architecte en Chef",3
"97","2017",10,"Conseiller Général",4
"98","2017",10,"Gestionnaire Général",120
"99","2017",10,"Gestionnaire Financier Général",NA
"100","2017",10,"Ingénieur Général",15
"101","2017",10,"Analyste Général",7
"102","2017",10,"Architecte Général",2
"103","2017",10,"Agent non qualifié 1ère cie",94
"104","2017",10,"Agent non qualifié 2ème cie",9
"105","2017",10,"Agent non qualifié 3ème cie",48
"106","2017",10,"Agent d'Acceuil",9
"107","2017",10,"Agent de métier",69
"108","2017",10,"Agent des postes",142
"109","2017",10,"Agent de guichet",99
"110","2017",10,"Agent de Distribution",622
"111","2017",10,"Agent Administratif Adjoint",7
"112","2017",10,"Agent technique",NA
"113","2017",10,"Agent qualifié 1er degré",74
"114","2017",10,"Agent Administratif",34
"115","2017",10,"Agent Bureautique",2
"116","2017",10,"Agent PrincipaL des postes",53
"117","2017",10,"Agent PrincipaL de guichet",315
"118","2017",10,"Agent principale de Distribution",256
"119","2017",10,"Agent financier",1
"120","2017",10,"Technicien Adjoint",12
"121","2017",10,"Technicien de Laboratoire Informatique",NA
"122","2017",10,"Agent qualifié 2ème degré",108
"123","2017",10,"Ouvrier",3
"124","2017",10,"Gestionnaire Adjoint",161
"125","2017",10,"Surveillant des postes",431
"126","2017",10,"Surveillant des guichets",1308
"127","2017",10,"Surveillant de distribution",371
"128","2017",10,"Gestionnaire financier adjoint",61
"129","2017",10,"Ouvrier",2
"130","2017",10,"Technicien",194
"131","2017",10,"Programmeur",1
"132","2017",10,"Agent qualifié 3ème degré",62
"133","2017",10,"Gestionnaire",2267
"134","2017",10,"Comptable",3
"135","2017",10,"Gestionnaire Financier",17
"136","2017",10,"Technicien Principal",147
"137","2017",10,"Analyste",26
"138","2017",10,"Gestionnaire Central",1056
"139","2017",10,"Comptable Principal",14
"140","2017",10,"Gestionnaire Financier Principal",9
"141","2017",10,"Expert Commercial Principal",9
"142","2017",10,"Ingenieur Principal",26
"143","2017",10,"Technicien en Chef",69
"144","2017",10,"Analyste Central",28
"145","2017",10,"PRESIDENT DIRECTEUR GENERAL",1
"146","2017",10,"Contract. Agent non qualifié 1ère cie",4
"147","2017",10,"Contract. Agent d'Acceuil",2
"148","2017",10,"Contract. Agent de guichet",6
"149","2017",10,"Contract. Agent Administratif Adjoint",NA
"150","2017",10,"Contract. Agent Administratif",34
"151","2017",10,"Contract. Agent PrincipaL de guichet",2
"152","2017",10,"Contract. Gestionnaire Adjoint",44
"153","2017",10,"Contract. Surveillant des guichets",7
"154","2017",10,"Contract. Gestionnaire",86
"155","2017",10,"Contract. Gestionnaire Central",3
"156","2017",10,"Femme Menage",424
"157","2017",10,"Femme Menage qualifié",181
"158","2017",10,"Gardiennage",179
"159","2017",10,"Gardiennage qualifié",78
"160","2017",10,"Inspecteur en chef",NA
"161","2017",10,"Inspecteur",1
"162","2017",10,"Agent de production",1
"163","2017",10,"Secrétaire de gestion",1
"164","2017",10,"Attaché d'inspection",2
"165","2017",10,"Analyste",NA
"166","2017",10,"Administration conseil",NA
"167","2017",10,"Attaché De l'administration",4
"168","2017",10,"Medecin",1
"169","2017",10,"MEDECIN PRINCIPAL",NA
"170","2017",10,"Unknown",1
"171","2017",11,"Conseiller en Chef",2
"172","2017",11,"Gestionnaire en Chef",352
