"","X2017","X2018","X2019","X2020","X2021","Total.général","position"
"Gestionnaire","26223","26102","27345","26786","24892",131348,"Gestionnaire"
"Surveillant.des.guichets","16482","14751","12996","12897","11127",68253,"Surveillant.des.guichets"
"Gestionnaire.Central","12112","13278","13331","13166","16034",67921,"Gestionnaire.Central"
"Agent.de.Distribution","7677","7005","6775","7609","7189",36255,"Agent.de.Distribution"
"Gestionnaire.en.Chef","3803","4841","4782","4905","5953",24284,"Gestionnaire.en.Chef"
"Surveillant.des.postes","5638","4986","4414","4166","3445",22649,"Surveillant.des.postes"
"Agent.PrincipaL.de.guichet","3737","3569","3665","5137","5100",21208,"Agent.PrincipaL.de.guichet"
"Surveillant.de.distribution","4631","4577","3895","3712","3609",20424,"Surveillant.de.distribution"
"Femme.Menage.qualifié","1267","3096","3915","4378","4608",17264,"Femme.Menage.qualifié"
"Femme.Menage","5992","3749","2661","1853","1401",15656,"Femme.Menage"
"Agent.principale.de.Distribution","3111","2801","3127","3102","3041",15182,"Agent.principale.de.Distribution"
"Gestionnaire.Adjoint","2051","1973","2024","1690","1387",9125,"Gestionnaire.Adjoint"
"Technicien","2120","1967","1656","1603","1441",8787,"Technicien"
"Gestionnaire.Général","1235","1646","1704","1703","1745",8033,"Gestionnaire.Général"
"Technicien.Principal","1735","1782","1672","1428","1394",8011,"Technicien.Principal"
"Agent.des.postes","1303","1680","1539","1332","1248",7102,"Agent.des.postes"
"Gardiennage.qualifié","546","1383","1727","1736","1676",7068,"Gardiennage.qualifié"
"Agent.de.guichet","1136","1130","1172","1774","1794",7006,"Agent.de.guichet"
"Gardiennage","2538","1593","1176","682","372",6361,"Gardiennage"
"Agent.non.qualifié.1ère.cie","1064","1168","1143","1117","1080",5572,"Agent.non.qualifié.1ère.cie"
"Agent.qualifié.2ème.degré","1271","1265","1135","992","894",5557,"Agent.qualifié.2ème.degré"
"Technicien.en.Chef","708","1004","898","979","1023",4612,"Technicien.en.Chef"
"Agent.de.métier","840","826","795","734","630",3825,"Agent.de.métier"
"Agent.PrincipaL.des.postes","654","587","759","854","889",3743,"Agent.PrincipaL.des.postes"
"Agent.qualifié.3ème.degré","957","721","633","694","696",3701,"Agent.qualifié.3ème.degré"
"Agent.qualifié.1er.degré","881","776","663","650","708",3678,"Agent.qualifié.1er.degré"
"Agent.Administratif","475","674","1189","542","403",3283,"Agent.Administratif"
"Gestionnaire.financier.adjoint","786","593","527","497","426",2829,"Gestionnaire.financier.adjoint"
"Ingénieur.en.Chef","608","589","551","517","399",2664,"Ingénieur.en.Chef"
"Contract..Gestionnaire","1077","720","392","100",NA,2289,"Contract..Gestionnaire"
"Analyste.en.Chef","325","352","364","408","373",1822,"Analyste.en.Chef"
"Agent.non.qualifié.3ème.cie","622","454","302","170","105",1653,"Agent.non.qualifié.3ème.cie"
"Ingénieur.Général","145","238","277","300","441",1401,"Ingénieur.Général"
"Gestionnaire.Financier.en.Chef","290","284","287","264","258",1383,"Gestionnaire.Financier.en.Chef"
"Comptable.en.Chef","207","267","288","272","342",1376,"Comptable.en.Chef"
"Analyste.Central","356","301","295","215","197",1364,"Analyste.Central"
"Ingenieur.Principal","327","289","264","227","201",1308,"Ingenieur.Principal"
"Contract..Gestionnaire.Adjoint","519","433","290","63",NA,1305,"Contract..Gestionnaire.Adjoint"
"Gestionnaire.Financier","218","263","252","235","186",1154,"Gestionnaire.Financier"
"Analyste","327","247","202","193","177",1146,"Analyste"
"Technicien.Adjoint","146","202","180","169","117",814,"Technicien.Adjoint"
"Gestionnaire.Financier.Principal","117","152","156","149","195",769,"Gestionnaire.Financier.Principal"
"Contract..Agent.Administratif","388","264","81","12",NA,745,"Contract..Agent.Administratif"
"Agent.d.Acceuil","108","141","142","173","156",720,"Agent.d.Acceuil"
"Agent.non.qualifié.2ème.cie","99","123","144","164","188",718,"Agent.non.qualifié.2ème.cie"
"Comptable.Principal","187","136","120","119","63",625,"Comptable.Principal"
"Agent.Administratif.Adjoint","78","87","90","137","132",524,"Agent.Administratif.Adjoint"
"Expert.Technicien.en.Chef",NA,NA,"143","164","204",511,"Expert.Technicien.en.Chef"
